plate,mjd,fiber_id,fuv_flux_obs,fuv_flux_syn,dn4000_synth,extinction
266,51602,194,0.3229,3.0362,1.2040,0.5430
267,51608,28,0.3806,0.6364,1.4400,0.0650
267,51608,183,0.7606,2.0219,1.3150,0.6390
269,51910,521,0.9258,3.1588,1.1680,0.6150
271,51883,217,0.9516,2.0117,1.2570,0.5740
272,51941,142,0.6981,2.8090,1.2060,0.3470
274,51913,630,1.0416,1.5262,1.2460,0.4730
277,51908,182,1.4222,3.8581,1.2670,0.3110
280,51612,370,1.5530,3.3172,1.1460,0.2620
286,51999,104,0.6283,0.0719,1.4530,0.1790
290,51941,386,0.4614,2.0673,1.2570,0.7700
293,51994,27,0.3706,1.6440,1.2510,0.2770
294,51986,608,1.4076,2.3504,1.2640,0.3480
295,51985,353,0.3390,2.1890,1.2510,0.3100
295,51985,499,0.1199,1.9848,1.3830,0.4000
296,51665,38,0.7336,2.2303,1.2810,0.2560
297,51663,92,1.4986,2.1348,1.2170,0.4610
297,51663,117,1.3773,1.8175,1.2580,0.2880
302,51688,170,1.0287,2.6078,1.2710,0.3410
303,51615,587,0.7090,2.1255,1.2260,0.1710
305,51613,13,0.7702,2.1312,1.3500,0.4590
305,51613,181,0.2693,2.5536,1.3100,0.3420
305,51613,223,0.5330,1.8814,1.3050,0.1270
305,51613,486,0.5537,2.5892,1.2010,0.4860
306,51637,515,1.4817,4.8325,1.1330,0.1420
307,51663,268,1.1589,1.9560,1.1800,0.1870
311,51665,59,1.4725,3.4840,1.2200,0.2500
311,51665,387,0.9876,3.4868,1.1670,0.7020
311,51665,427,0.8595,3.7863,1.1750,0.3560
311,51665,431,0.7549,3.4922,1.2470,0.4460
311,51665,493,0.9470,3.8408,1.1870,0.3890
312,51689,222,0.3416,3.5243,1.2420,0.2120
314,51641,532,2.2541,6.2840,1.1110,0.3870
314,51641,533,1.7338,2.9443,1.1680,0.2210
315,51663,333,1.1314,1.8251,1.2440,0.2680
341,51690,417,0.4791,1.6600,1.3300,0.5950
351,51695,46,1.0043,3.9256,1.1980,0.3130
352,51789,547,0.8365,2.1291,1.2950,0.5290
353,51703,387,0.6936,1.7945,1.2990,0.4940
357,51813,291,0.3713,2.2963,1.4790,0.2450
364,52000,66,2.8424,6.2507,1.1050,0.5410
371,52078,594,0.4903,1.9293,1.3710,0.1810
373,51788,608,3.3891,5.1691,1.1140,0.1250
377,52145,38,0.6164,3.3585,1.2870,0.1770
377,52145,61,1.2350,1.8210,1.3110,0.2680
377,52145,636,0.4594,3.3538,1.2110,0.0290
378,52146,634,1.3639,3.8754,1.2180,0.2270
379,51789,450,0.9155,2.0507,1.1980,0.4880
380,51792,98,0.7872,4.9322,1.1910,0.2000
384,51821,546,0.4629,1.6713,1.4700,0.5130
384,51821,592,2.4484,8.4925,1.1210,0.2100
386,51788,409,2.5494,7.3256,1.1460,0.3080
388,51793,457,2.9896,8.1368,1.0640,0.3190
389,51795,394,0.2814,0.4174,1.6050,0.1680
389,51795,456,0.5953,1.2264,1.3090,0.4880
389,51795,459,0.2777,0.0991,1.6580,0.3280
390,51816,156,0.9212,2.9711,1.3710,0.3410
391,51782,14,0.7307,1.9449,1.3380,0.2410
392,51793,423,2.2540,7.0857,1.1210,0.2080
393,51794,6,0.9525,2.1306,1.3080,0.1180
393,51794,86,0.7613,1.9330,1.3270,0.3010
394,51812,416,3.1655,6.8365,1.1160,0.2280
395,51783,58,1.0648,2.6578,1.2170,0.3070
397,51794,623,0.2500,1.5158,1.3170,0.5400
399,51817,58,0.3012,2.7951,1.2100,0.2890
399,51817,212,0.6892,1.7982,1.3170,0.4650
401,51788,120,2.1337,4.6685,1.1530,0.5030
402,51793,106,0.5551,4.5987,1.2380,0.2050
402,51793,250,0.9705,1.7813,1.3270,0.1110
402,51793,326,0.6340,0.8054,1.3160,0.2200
406,51817,160,0.9362,3.8782,1.2090,0.2930
409,51871,50,1.8077,9.6294,1.0560,0.4800
412,51931,377,2.6174,4.4734,1.1100,0.1950
412,51931,477,1.1024,3.1100,1.3170,0.2900
413,51821,62,1.3337,1.5938,1.5380,0.2770
413,51821,99,0.5128,1.6086,1.4950,0.2200
415,51810,388,1.5695,2.7563,1.2170,-0.0520
417,51821,222,0.3351,0.2702,1.3990,-0.3010
419,51812,58,0.3922,1.3848,1.3660,0.2240
419,51812,561,2.3155,4.8718,1.0920,0.2360
420,51871,181,0.3687,2.5186,1.2730,0.5330
420,51871,288,1.0161,2.7113,1.2080,0.3100
422,51811,113,0.9807,2.6618,1.1590,0.5120
424,51893,565,2.1292,3.1639,1.2030,0.2060
