plate,mjd,fiber_id,fuv_flux_obs,fuv_flux_syn,dn4000_synth,extinction,H_alpha,EW_H_alpha,H_beta,OIII,NII
266,51602,194,0.3229,3.0362,1.2040,0.5430,707.3910,41.1310,163.6990,61.9770,224.3830
267,51608,28,0.3806,0.6364,1.4400,0.0650,300.2010,5.5550,77.0740,194.9530,238.8680
267,51608,183,0.7606,2.0219,1.3150,0.6390,470.4460,24.1890,101.8310,44.1290,182.9670
269,51910,521,0.9258,3.1588,1.1680,0.6150,2472.3890,80.5120,525.9890,201.4310,1034.0690
271,51883,217,0.9516,2.0117,1.2570,0.5740,976.8000,45.6080,215.4450,80.0790,397.8710
272,51941,142,0.6981,2.8090,1.2060,0.3470,962.4930,37.0000,229.0710,115.8960,341.2890
274,51913,630,1.0416,1.5262,1.2460,0.4730,1446.5730,62.3990,318.8800,123.7310,590.1580
277,51908,182,1.4222,3.8581,1.2670,0.3110,690.9490,30.7120,181.1730,87.4790,283.5450
280,51612,370,1.5530,3.3172,1.1460,0.2620,1132.5420,57.3000,298.3260,350.7800,228.6430
286,51999,104,0.6283,0.0719,1.4530,0.1790,470.3490,30.4030,103.4630,20.2800,160.9180
290,51941,386,0.4614,2.0673,1.2570,0.7700,565.7990,30.8010,139.7280,244.5580,313.1380
293,51994,27,0.3706,1.6440,1.2510,0.2770,996.7510,73.9180,247.8240,134.4820,276.6350
294,51986,608,1.4076,2.3504,1.2640,0.3480,765.3600,41.8700,196.1970,38.9020,280.9410
295,51985,353,0.3390,2.1890,1.2510,0.3100,480.4370,31.8480,128.7380,96.5400,123.8500
295,51985,499,0.1199,1.9848,1.3830,0.4000,638.7290,24.4770,147.5700,37.0440,274.8060
296,51665,38,0.7336,2.2303,1.2810,0.2560,796.0760,35.8140,208.9190,77.1360,276.7540
297,51663,92,1.4986,2.1348,1.2170,0.4610,919.9830,62.1320,236.5710,175.0160,247.5970
297,51663,117,1.3773,1.8175,1.2580,0.2880,514.7200,35.0990,138.0890,102.6730,151.2720
302,51688,170,1.0287,2.6078,1.2710,0.3410,580.1720,26.5380,135.2210,26.1560,215.4740
303,51615,587,0.7090,2.1255,1.2260,0.1710,1558.3400,59.6680,407.8270,328.4040,416.3830
305,51613,13,0.7702,2.1312,1.3500,0.4590,523.0180,16.9010,121.5840,62.1160,256.1470
305,51613,181,0.2693,2.5536,1.3100,0.3420,1061.7140,29.0340,261.7680,282.6310,355.0700
305,51613,223,0.5330,1.8814,1.3050,0.1270,361.2080,24.2800,101.9750,80.6580,109.2530
305,51613,486,0.5537,2.5892,1.2010,0.4860,1042.5060,49.8960,263.9370,186.4500,332.2950
306,51637,515,1.4817,4.8325,1.1330,0.1420,2291.9760,147.0930,712.9710,2465.5730,210.4760
307,51663,268,1.1589,1.9560,1.1800,0.1870,2185.7890,53.4260,602.1370,1622.0120,406.3820
311,51665,59,1.4725,3.4840,1.2200,0.2500,1037.9670,54.1370,245.1210,60.3280,356.6110
311,51665,387,0.9876,3.4868,1.1670,0.7020,1244.3850,52.2690,292.3520,71.7620,459.5360
311,51665,427,0.8595,3.7863,1.1750,0.3560,1374.2790,50.4410,363.1380,130.9920,580.7430
311,51665,431,0.7549,3.4922,1.2470,0.4460,443.6490,24.8940,122.5290,28.3540,182.2840
311,51665,493,0.9470,3.8408,1.1870,0.3890,1300.8680,47.3540,326.2840,149.0060,416.3500
312,51689,222,0.3416,3.5243,1.2420,0.2120,402.6520,31.1420,122.7520,35.9510,136.2200
314,51641,532,2.2541,6.2840,1.1110,0.3870,2358.5910,195.0440,623.1790,2757.5230,358.2420
314,51641,533,1.7338,2.9443,1.1680,0.2210,633.8530,39.1790,195.3340,467.5250,94.5150
315,51663,333,1.1314,1.8251,1.2440,0.2680,1463.0370,54.5310,404.2200,486.5560,375.6960
341,51690,417,0.4791,1.6600,1.3300,0.5950,1440.2490,38.9530,307.3890,81.7470,624.8440
351,51695,46,1.0043,3.9256,1.1980,0.3130,-999.0000,-999.0000,586.0360,242.4540,-999.0000
352,51789,547,0.8365,2.1291,1.2950,0.5290,615.6240,30.1650,137.2980,40.3030,274.3390
353,51703,387,0.6936,1.7945,1.2990,0.4940,975.0250,40.6360,221.3670,90.0490,443.7850
357,51813,291,0.3713,2.2963,1.4790,0.2450,552.9390,13.9020,130.7290,39.1260,260.6910
364,52000,66,2.8424,6.2507,1.1050,0.5410,1599.8170,174.9720,516.7090,2197.4150,114.4070
371,52078,594,0.4903,1.9293,1.3710,0.1810,340.2750,14.7010,83.8380,17.3090,120.7790
373,51788,608,3.3891,5.1691,1.1140,0.1250,2017.2070,141.5460,637.6290,1911.9350,204.1940
377,52145,38,0.6164,3.3585,1.2870,0.1770,1817.8180,46.6250,477.8500,215.7410,828.7210
377,52145,61,1.2350,1.8210,1.3110,0.2680,439.7740,25.3700,107.5250,25.3750,162.6830
377,52145,636,0.4594,3.3538,1.2110,0.0290,806.4250,40.0030,256.9600,199.8050,231.2090
378,52146,634,1.3639,3.8754,1.2180,0.2270,1013.5690,74.4910,273.5150,678.0140,128.2880
379,51789,450,0.9155,2.0507,1.1980,0.4880,3255.8410,64.9830,722.4690,393.2120,1155.8240
380,51792,98,0.7872,4.9322,1.1910,0.2000,1833.9710,106.1230,525.4730,722.9810,298.4450
384,51821,546,0.4629,1.6713,1.4700,0.5130,225.6860,9.3260,57.6060,68.0460,121.7030
384,51821,592,2.4484,8.4925,1.1210,0.2100,1287.7190,197.5560,377.9350,941.4830,129.8750
386,51788,409,2.5494,7.3256,1.1460,0.3080,1111.5740,192.5180,296.0450,928.9710,111.7700
388,51793,457,2.9896,8.1368,1.0640,0.3190,3786.3700,460.3580,1165.1850,6587.6350,181.3810
389,51795,394,0.2814,0.4174,1.6050,0.1680,144.6410,3.5000,34.3980,20.7790,73.7420
389,51795,456,0.5953,1.2264,1.3090,0.4880,989.1260,39.1400,194.4440,19.6480,376.2220
389,51795,459,0.2777,0.0991,1.6580,0.3280,77.4440,3.0940,26.6120,17.3490,38.8400
390,51816,156,0.9212,2.9711,1.3710,0.3410,596.3900,19.7050,158.6450,80.8090,271.5020
391,51782,14,0.7307,1.9449,1.3380,0.2410,1200.4570,40.8920,304.0420,196.9780,518.4460
392,51793,423,2.2540,7.0857,1.1210,0.2080,1765.8960,147.8320,594.3280,1823.3590,161.5190
393,51794,6,0.9525,2.1306,1.3080,0.1180,1077.6570,39.8950,294.8780,220.3560,383.2180
393,51794,86,0.7613,1.9330,1.3270,0.3010,636.2650,32.2290,152.0620,56.8060,262.3090
394,51812,416,3.1655,6.8365,1.1160,0.2280,1170.7880,150.6340,364.8940,1528.2240,62.2560
395,51783,58,1.0648,2.6578,1.2170,0.3070,1383.0030,75.2740,369.5960,1122.7780,383.0330
397,51794,623,0.2500,1.5158,1.3170,0.5400,778.8300,34.5710,157.0480,35.0780,322.1280
399,51817,58,0.3012,2.7951,1.2100,0.2890,998.3670,50.0390,232.0820,56.2300,345.8670
399,51817,212,0.6892,1.7982,1.3170,0.4650,591.7030,28.2880,137.3910,61.9630,252.9280
401,51788,120,2.1337,4.6685,1.1530,0.5030,1273.7680,142.5190,376.7970,1509.5780,75.8990
402,51793,106,0.5551,4.5987,1.2380,0.2050,762.6790,54.9910,211.2500,155.6450,192.1180
402,51793,250,0.9705,1.7813,1.3270,0.1110,-999.0000,-999.0000,195.9090,150.4090,-999.0000
402,51793,326,0.6340,0.8054,1.3160,0.2200,1389.9880,48.0390,317.1570,113.2310,538.4270
406,51817,160,0.9362,3.8782,1.2090,0.2930,1866.6940,120.5160,507.6400,1384.2890,291.5670
409,51871,50,1.8077,9.6294,1.0560,0.4800,2709.0810,485.9230,829.1920,4754.5940,62.8330
412,51931,377,2.6174,4.4734,1.1100,0.1950,1894.3060,109.4300,558.2010,1602.1460,259.9250
412,51931,477,1.1024,3.1100,1.3170,0.2900,519.5450,23.8220,164.4840,94.3580,195.4970
413,51821,62,1.3337,1.5938,1.5380,0.2770,170.6620,5.8560,36.7980,21.5730,79.4550
413,51821,99,0.5128,1.6086,1.4950,0.2200,185.8500,8.9430,48.0740,85.6410,96.4180
415,51810,388,1.5695,2.7563,1.2170,-0.0520,617.6270,52.1030,181.7300,218.7240,142.0390
417,51821,222,0.3351,0.2702,1.3990,-0.3010,818.3160,51.6800,223.0880,106.6360,271.7450
419,51812,58,0.3922,1.3848,1.3660,0.2240,408.8710,17.3070,112.7780,79.3090,127.8860
419,51812,561,2.3155,4.8718,1.0920,0.2360,1041.1090,108.6070,335.7140,852.4330,85.6400
420,51871,181,0.3687,2.5186,1.2730,0.5330,916.3310,40.0340,184.2760,45.2750,335.8330
420,51871,288,1.0161,2.7113,1.2080,0.3100,1736.4620,54.3160,453.7310,463.7820,669.2270
422,51811,113,0.9807,2.6618,1.1590,0.5120,1032.3990,56.3190,253.0850,327.3600,190.8010
424,51893,565,2.1292,3.1639,1.2030,0.2060,1059.1650,62.4920,297.2550,215.4790,281.7460
427,51900,565,0.4547,1.9326,1.3180,0.4600,664.7150,30.6790,140.2360,54.3900,352.2650
433,51873,165,0.5195,3.2410,1.2220,0.2870,1838.3150,45.2310,451.5250,268.7320,663.7740
433,51873,241,0.3158,1.3770,1.5060,0.1670,115.6300,4.0940,31.0520,28.5460,63.3670
438,51884,22,0.6445,3.0434,1.1980,0.4200,548.0590,36.5240,150.4050,185.6730,117.7070
439,51877,633,0.2788,2.0834,1.2950,0.6530,946.8060,32.8240,182.5970,31.5590,401.1140
441,51868,455,0.6401,3.0815,1.3860,0.2470,490.6970,13.2470,109.6810,88.8950,245.5120
442,51882,240,0.6433,1.9422,1.3050,0.4560,736.6460,31.9120,178.3370,120.0310,247.1240
443,51873,77,0.5503,3.8300,1.2290,0.2460,827.9640,42.6640,210.1500,85.4410,263.0430
443,51873,104,0.6742,3.3279,1.2510,0.1740,608.8980,31.5190,164.8800,83.0980,207.6910
443,51873,542,3.5203,7.6003,1.0550,0.3200,2128.9780,157.5010,744.4480,3115.3230,95.4990
443,51873,548,0.2515,0.5571,1.5270,0.3710,147.5900,5.4190,36.2610,8.3280,64.1370
445,51873,355,1.5289,2.4400,1.2620,0.3710,696.4470,29.9760,192.0560,326.6580,185.5800
451,51908,144,0.4990,3.1008,1.2890,0.2360,443.4050,25.4510,107.0120,40.2620,151.0000
451,51908,159,0.9517,3.0564,1.2460,0.5480,782.2880,41.2910,172.3850,51.0910,347.2490
452,51911,263,1.2222,2.2379,1.2190,0.3970,1057.3500,44.1840,262.2380,145.9490,299.1820
458,51929,140,1.2556,3.4516,1.2250,0.2300,668.7420,36.1650,195.3640,134.7240,195.1260
459,51924,167,1.5202,1.8800,1.2160,0.4880,1134.5230,68.5270,266.6070,232.0400,298.0790
459,51924,253,3.1548,8.1068,1.1110,0.0020,2518.8320,347.4770,833.5130,3929.4270,121.2230
461,51910,49,0.3549,1.4764,1.2800,0.5720,449.0230,25.7130,111.5820,54.5830,163.4480
462,51909,198,0.2075,2.9198,1.2210,0.4280,825.9390,36.7340,212.7940,78.3250,279.9560
463,51908,470,3.0456,7.5527,1.0830,0.4970,2061.4810,197.4810,671.2400,2055.7660,167.8240
464,51908,110,1.8619,2.2707,1.4020,0.0740,489.3390,20.7990,139.5090,345.1380,121.4400
464,51908,166,1.0481,2.9699,1.2930,0.2280,1162.5230,44.2590,314.8890,130.5310,420.4680
464,51908,567,1.1496,2.7128,1.1800,0.5680,2106.7300,80.6170,494.4400,322.4450,579.9190
465,51910,524,3.9282,11.1424,1.0350,0.6120,2780.4220,613.3540,916.0110,5295.7290,89.2710
468,51912,446,0.5441,1.4194,1.2470,0.5060,437.8890,29.5270,100.3870,71.3210,132.6190
470,51929,448,0.6486,0.1673,1.4550,0.0640,398.0430,30.5660,110.6390,62.6510,163.4870
472,51955,546,1.6156,10.1220,1.0790,0.4210,2552.2970,363.8720,824.7300,3513.7860,127.7250
474,52000,401,0.7744,1.4430,1.3950,0.2450,331.2500,15.2660,84.0720,33.5330,126.2400
481,51908,345,1.0691,2.1030,1.3010,0.3400,878.9860,36.2770,225.8670,280.0210,262.7150
484,51907,426,0.4947,1.4448,1.4830,0.2580,89.9300,3.5230,28.1510,30.3980,41.0960
484,51907,592,0.5242,2.2620,1.3490,0.3570,624.5000,28.4880,161.6070,123.2850,276.3350
487,51943,610,1.1495,3.9096,1.2490,0.0960,1366.0360,52.1610,367.6420,94.3450,587.5780
488,51914,282,2.7812,4.2728,1.1820,0.3070,1782.9060,130.7230,505.9020,1379.0660,216.7630
491,51942,413,1.0849,1.9879,1.2130,0.5320,552.4880,41.8010,134.8070,96.8470,138.6660
491,51942,456,1.2113,5.6726,1.1590,0.4700,1730.3030,408.3030,510.0830,1346.5040,155.4520
492,51955,119,0.3489,2.5571,1.2730,0.3160,438.0180,31.8190,111.7910,61.4070,124.5380
493,51957,144,4.5704,8.6892,1.0560,0.2520,1243.3600,207.1140,407.9770,1626.8350,64.8060
493,51957,617,0.7450,1.9265,1.3180,0.1560,552.3200,28.2160,146.2790,70.7740,219.5610
500,51994,185,0.5306,1.7398,1.3140,0.3080,242.2610,15.7470,60.1720,14.0630,126.5430
502,51957,195,0.7044,2.7493,1.3050,0.4370,485.9850,24.9100,123.2530,142.8120,139.4790
502,51957,554,0.7631,1.4941,1.4090,0.3440,429.4140,15.9190,116.3540,155.1050,152.3500
503,51999,73,1.5631,3.5429,1.1710,0.6280,1595.4710,66.5800,427.6120,860.1370,311.4660
504,52316,549,1.2285,1.2931,1.3350,0.6600,383.8350,20.2050,95.0630,58.2230,193.3050
505,52317,77,0.5320,3.7139,1.2350,0.2370,165.5500,6.6930,51.6260,222.9830,67.6340
505,52317,228,3.6531,7.1294,1.0540,0.4480,2037.9290,362.9100,632.4900,3205.8170,40.4470
505,52317,354,0.6469,2.6315,1.2560,0.4670,768.0810,40.0010,177.0390,57.0100,275.2140
