#      Objid          plate    mjd    fiberid       ra           dec       fiberMag_z   modelMag_u   modelMag_g   modelMag_r   modelMag_i   modelMag_z   extinction_u   extinction_g   extinction_r   extinction_i   extinction_z    fuv_mag      nuv_mag      dered_u      dered_g      dered_r      dered_i      dered_z    petroR90_r  modelMagErr_u  modelMagErr_g  modelMagErr_r  modelMagErr_i  modelMagErr_z   fuv_magerr   nuv_magerr      e_bv      redshift     s2n_r     sn_fuv_auto   survey   morph_type   mag_ab_u   mag_ab_g   mag_ab_r   mag_ab_i   mag_ab_z    av_mw    a_lambda_u  a_lambda_g  a_lambda_r  a_lambda_i  a_lambda_z  a_lambda_fuv  a_lambda_nuv  fiber_corr  flux_u(E-17)  flux_g(E-17)  flux_r(E-17)  flux_i(E-17)  flux_z(E-17)  flux_fuv(E-17)  flux_nuv(E-17)  flux_u_err(E-17)  flux_g_err(E-17)  flux_r_err(E-17)  flux_i_err(E-17)  flux_z_err(E-17)  flux_fuv_err(E-17)  flux_nuv_err(E-17)  flux_u_esc(E-17)  flux_g_esc(E-17)  flux_r_esc(E-17)  flux_i_esc(E-17)  flux_z_esc(E-17)  flux_fuv_esc(E-17)  flux_nuv_esc(E-17)  scaling_factor  chi^2(goodness)  absolute_goodness  Mag_Abs_u   Mag_Abs_g   Mag_Abs_r   Mag_Abs_i   Mag_Abs_z
588848899897688275     266    51602     194      145.8229    -0.1604113     18.11547     19.19765     18.13039     17.59990     17.24161     17.00611      0.36777        0.27060        0.19626        0.14882        0.10552       20.91001     20.67754     18.82988     17.85979     17.40363     17.09279     16.90060    3.42151       0.03400        0.00756        0.00652        0.00699        0.01969       0.53803      0.25591     0.07142316   0.0626646   17.5990     2.018471     ['AIS']       3       18.78988   17.86979   17.41364   17.10279   16.92059    0.22141    0.34938     0.26934     0.19446     0.14920     0.10713     0.58029       0.63276       2.77808     72.85284      97.29381      85.86907      77.69083      64.47047      34.43722        21.00036         0.12484           0.12484           0.12484           0.12484           0.12484             0.45142            -0.00180             0.68319           0.91239           0.80525           0.72856           0.60459           0.32294             0.19694           0.00938          0.00144          0.00048        -18.42685   -19.34694   -19.80309   -20.11394   -20.29614
587728948510326821     267    51608      28      149.1914    -0.2595358     16.88646     18.74945     17.30398     16.70638     16.41381     16.20160      0.21228        0.15620        0.11329        0.08590        0.06091       20.86531     20.22834     18.53717     17.14779     16.59310     16.32790     16.14070    2.99972       0.02398        0.00473        0.00423        0.00445        0.00922       0.18615      0.10497     0.03974488   0.0707265   34.6546     5.834061     ['AIS']       3       18.49717   17.15778   16.60309   16.33791   16.16069    0.12321    0.19442     0.14988     0.10821     0.08302     0.05961     0.32291       0.35211       1.00000     34.33887      67.47480      65.20925      56.56889      46.72790      28.46226        24.67109         0.00000           0.00000           0.00000           0.00000           0.00000             0.14662            -0.00811             0.45918           0.90228           0.87199           0.75645           0.62485           0.38060             0.32990           0.01337          0.00705          0.00235        -18.99506   -20.33445   -20.88914   -21.15432   -21.33154
587725074459001065     267    51608     183      147.9246    -0.2386807     17.87063     20.16908     18.79038     18.00730     17.52393     17.23663      0.33195        0.24424        0.17714        0.13432        0.09524       21.87651     21.22136     19.83713     18.54614     17.83016     17.38960     17.14139    2.89702       0.05264        0.00893        0.00687        0.00654        0.01547       0.32042      0.26450     0.06674908   0.0646620   19.4387     3.389286     ['AIS']       3       19.79713   18.55614   17.84016   17.39961   17.16139    0.20692    0.32652     0.25171     0.18173     0.13943     0.10012     0.54231       0.59135       1.00000     10.37048      18.61231      20.86818      21.27642      18.59076      13.66404        12.26055         0.00000           0.00000           0.00000           0.00000           0.00000             0.17698             0.02923             0.57726           1.03603           1.16160           1.18432           1.03483           0.76059             0.68246           0.05566          0.00773          0.00258        -17.49089   -18.73189   -19.44787   -19.88842   -20.12663
588848900973789227     269    51910     521      151.1555     0.8294874     17.46027     18.97666     17.99758     17.51251     17.07405     16.93363      0.17122        0.12598        0.09137        0.06928        0.04912       20.63528     19.95536     18.80544     17.87160     17.42114     17.00476     16.88451    2.13455       0.02259        0.00613        0.00566        0.00603        0.01219       0.18231      0.08230     0.03318981   0.0659512   22.2841     5.957045     ['AIS']       3       18.76544   17.88160   17.43114   17.01477   16.90451    0.10289    0.16236     0.12516     0.09036     0.06933     0.04978     0.26966       0.29404       1.00000     26.82100      34.64295      30.41521      30.32734      23.55327      33.53178        30.10764         0.00000           0.00000           0.00000           0.00000           0.00000             0.15177            -0.01634             0.74050           0.95645           0.83973           0.83730           0.65028           0.92577             0.83124           0.02761          0.00373          0.00124        -18.56748   -19.45133   -19.90179   -20.31816   -20.42842
587728947975618784     271    51883     217      154.1571    -0.7938352     17.75540     19.72950     18.41804     17.76295     17.32398     17.06032      0.25204        0.18545        0.13450        0.10199        0.07231       21.08218     21.22064     19.47746     18.23259     17.62845     17.22199     16.98801    2.86780       0.05726        0.00900        0.00805        0.00793        0.01699       0.24116      0.16808     0.04883909   0.0604716   22.2992     4.503189     ['AIS']       3       19.43746   18.24259   17.63845   17.23199   17.00801    0.15140    0.23891     0.18417     0.13297     0.10202     0.07325     0.39680       0.43268       1.00000     14.44340      24.84387      25.12860      24.82819      21.41170      24.91224        10.63571         0.00000           0.00000           0.00000           0.00000           0.00000             0.18017             0.02053             0.55174           0.94903           0.95991           0.94843           0.81792           0.95164             0.40628           0.03820          0.00738          0.00246        -17.69844   -18.89331   -19.49745   -19.90391   -20.12789
588848899365404787     272    51941     142      156.3277    -0.5673653     17.63798     19.08611     17.95263     17.43436     17.07036     16.84931      0.32341        0.23796        0.17259        0.13087        0.09279       20.88309     20.59133     18.76270     17.71467     17.26177     16.93949     16.75653    3.19736       0.02727        0.00734        0.00681        0.00757        0.01400       0.21433      0.12726     0.06346159   0.0645813   23.8015     5.066870     ['AIS']       3       18.72270   17.72467   17.27177   16.94949   16.77652    0.19673    0.31044     0.23932     0.17278     0.13257     0.09519     0.51560       0.56222       1.00000     27.89796      40.03020      35.22398      32.20659      26.49997      33.30450        21.33711         0.00000           0.00000           0.00000           0.00000           0.00000             0.17806            -0.00166             0.58476           0.83906           0.73832           0.67507           0.55546           0.69809             0.44724           0.02096          0.01078          0.00359        -18.56248   -19.56052   -20.01341   -20.33569   -20.50866
588848900978114621     274    51913     630      161.0807     0.6774790     17.76482     19.27356     18.20926     17.67922     17.25883     17.07526      0.23665        0.17413        0.12629        0.09576        0.06790       20.87654     20.27637     19.03691     18.03514     17.55293     17.16307     17.00736    2.49303       0.03118        0.00712        0.00641        0.00663        0.01544       0.27579      0.08902     0.04628631   0.0648454   29.3768     3.937843     ['AIS']       3       18.99691   18.04513   17.56293   17.17307   17.02736    0.14349    0.22642     0.17455     0.12602     0.09669     0.06943     0.37606       0.41006       1.00000     21.67152      29.79900      26.93860      26.21284      21.03337      29.55009        24.86754         0.00000           0.00000           0.00000           0.00000           0.00000             0.22022            -0.00724             0.76391           1.05040           0.94957           0.92399           0.74141           1.04162             0.87657           0.03525          0.00337          0.00112        -18.29756   -19.24933   -19.73153   -20.12140   -20.26710
588848899369468064     277    51908     182      165.5322    -0.4360629     17.74431     19.28912     18.13988     17.59222     17.25370     17.00869      0.16205        0.11923        0.08648        0.06557        0.04649       20.26322     20.24508     19.12707     18.02064     17.50574     17.18812     16.96219    2.81339       0.02973        0.00759        0.00621        0.00806        0.01635       0.27797      0.11949     0.03113421   0.0698707   22.9637     3.906951     ['AIS']       3       19.08707   18.03065   17.51574   17.19813   16.98220    0.09652    0.15230     0.11741     0.08477     0.06504     0.04670     0.25296       0.27583       1.00000     19.94457      30.19932      28.13522      25.61479      21.92681      46.53184        22.68136         0.00000           0.00000           0.00000           0.00000           0.00000             0.24750            -0.00453             0.60960           0.92303           0.85995           0.78291           0.67019           1.42223             0.69325           0.03056          0.00211          0.00070        -18.37738   -19.43381   -19.94871   -20.26633   -20.48226
588848901518917698     280    51612     370      170.0846     1.1529170     18.05940     18.98567     18.08506     17.75370     17.46984     17.37672      0.22091        0.16255        0.11789        0.08939        0.06338       19.99295     19.76112     18.76475     17.92251     17.63581     17.38045     17.31334    3.33439       0.02502        0.00700        0.00660        0.00807        0.01961       0.22591      0.14443     0.04354595   0.0693370   20.2519     4.807303     ['AIS']       3       18.72476   17.93251   17.64581   17.39045   17.33334    0.13499    0.21301     0.16421     0.11856     0.09096     0.06532     0.35380       0.38579       1.00000     27.84521      33.05597      24.95879      21.45669      15.86788      65.35654        39.10583         0.00000           0.00000           0.00000           0.00000           0.00000             0.19539            -0.06289             0.66164           0.78545           0.59305           0.50984           0.37704           1.55295             0.92920           0.02376          0.00296          0.00099        -18.72221   -19.51445   -19.80116   -20.05652   -20.11363
588848899376611511     286    51999     104      181.8945    -0.4926981     18.07720     19.55303     18.36200     17.75901     17.36244     17.10547      0.09312        0.06852        0.04970        0.03768        0.02672       21.44722     20.84046     19.45991     18.29348     17.70931     17.32476     17.07875    3.16443       0.04143        0.00798        0.00693        0.00695        0.01614       0.24108      0.13816     0.01794998   0.0623105   13.1752     4.504669     ['AIS']       3       19.41991   18.30348   17.71931   17.33476   17.09875    0.05564    0.08781     0.06769     0.04887     0.03750     0.02692     0.14584       0.15902       1.00000     14.67880      23.48893      23.32498      22.58595      19.69488      14.19925        11.79922         0.00000           0.00000           0.00000           0.00000           0.00000             0.13609             0.01578             0.64949           1.03930           1.03205           0.99935           0.87143           0.62827             0.52207           0.04425          0.02581          0.00860        -17.78396   -18.90038   -19.48455   -19.86911   -20.10511
