"X","X..plate...mjd...fiberID...mag_ab_u...mag_ab_g...mag_ab_r...mag_ab_i...mag_ab_z...mag_ab_fuv...mag_ab_nuv...M_absolut_u...M_absolut_g...M_absolut_r...M_absolut_i...M_absolut_z...M_absolut_fuv...M_absolut_nuv...u.g...u.i...g.r...g.i...r.i...i.z...FUV.NUV...FUV.u...NUV.u...FUV.g...NUV.g...FUV.r...NUV.r...FUV.i...NUV.i...FUV.z...NUV.z...redshift."
1,",266,51630,199,18.78988,17.86979,17.41364,17.10279,16.92059,20.34275,20.0591,-18.27399,-19.16478,-19.6912,-20.04003,-20.17603,-16.87427,-17.15791,0.92009,1.68709,0.45615,0.767,0.31085,0.1822,0.28365,1.55287,1.26922,2.47296,2.18931,2.92911,2.64546,3.23996,2.95631,3.42216,3.13851,0.06267"
2,",268,51633,625,19.93679,18.09026,17.24479,16.84121,16.56164,23.15558,22.49909,-17.21087,-19.02857,-19.95679,-20.39441,-20.64757,-14.18137,-14.83785,1.84653,3.09558,0.84547,1.24905,0.40358,0.27957,0.65649,3.21879,2.5623,5.06532,4.40883,5.91079,5.2543,6.31437,5.65788,6.59394,5.93745,0.06607"
3,",269,51910,521,18.76544,17.8816,17.43114,17.01477,16.90451,20.37168,19.66798,-18.41902,-19.27648,-19.79088,-20.21912,-20.30884,-16.96125,-17.66495,0.88384,1.75067,0.45046,0.86683,0.41637,0.11026,0.7037,1.60624,0.90254,2.49008,1.78638,2.94054,2.23684,3.35691,2.65321,3.46717,2.76347,0.06595"
4,",272,51941,142,18.7227,17.72467,17.27177,16.94949,16.77652,20.37906,20.04183,-18.41207,-19.3825,-19.90198,-20.25608,-20.38875,-16.90612,-17.24336,0.99803,1.77321,0.4529,0.77518,0.32228,0.17297,0.33723,1.65636,1.31913,2.65439,2.31716,3.10729,2.77006,3.42957,3.09234,3.60254,3.26531,0.06458"
5,",272,51941,400,19.84159,18.36746,17.58575,17.18922,16.95541,22.70965,21.84178,-17.49557,-18.94601,-19.79568,-20.22913,-20.42874,-14.79878,-15.66664,1.47413,2.65237,0.78171,1.17824,0.39653,0.23381,0.86787,2.86806,2.00019,4.34219,3.47432,5.1239,4.25603,5.52043,4.65256,5.75424,4.88637,0.07123"
6,",274,51913,630,18.99691,18.04513,17.56293,17.17307,17.02736,20.67958,19.7046,-18.14432,-19.06854,-19.61829,-20.03086,-20.14661,-16.61488,-17.58987,0.95178,1.82384,0.4822,0.87206,0.38986,0.14571,0.97498,1.68267,0.70769,2.63445,1.65947,3.11665,2.14167,3.50651,2.53153,3.65222,2.67724,0.06485"
7,",275,51910,472,19.53795,18.16381,17.46231,17.06783,16.81574,21.87899,20.77803,-17.83174,-19.18334,-19.94784,-20.37602,-20.59403,-15.65338,-16.75434,1.37414,2.47012,0.7015,1.09598,0.39448,0.25209,1.10096,2.34104,1.24008,3.71518,2.61422,4.41668,3.31572,4.81116,3.7102,5.06325,3.96229,0.07198"
8,",277,51908,182,19.08707,18.03065,17.51574,17.19813,16.9822,20.01594,19.9755,-18.22779,-19.26088,-19.8353,-20.16745,-20.36232,-17.44851,-17.48896,1.05642,1.88894,0.51491,0.83252,0.31761,0.21593,0.04044,0.92887,0.88843,1.98529,1.94485,2.5002,2.45976,2.81781,2.77737,3.03374,2.9933,0.06987"
9,",278,51900,368,19.74507,18.3723,17.59283,17.13204,16.93606,23.02413,22.01594,-17.4553,-18.80083,-19.65701,-20.15712,-20.31813,-14.3559,-15.36409,1.37277,2.61303,0.77947,1.24026,0.46079,0.19598,1.00819,3.27906,2.27087,4.65183,3.64364,5.4313,4.42311,5.89209,4.8839,6.08807,5.07988,0.06733"
10,",290,51941,386,19.563,18.24898,17.61005,17.17922,16.99372,21.84483,20.95245,-17.71704,-19.00638,-19.71159,-20.15818,-20.32616,-15.59748,-16.48987,1.31402,2.38378,0.63893,1.06976,0.43083,0.1855,0.89238,2.28183,1.38945,3.59585,2.70347,4.23478,3.3424,4.66561,3.77323,4.85111,3.95873,0.0692"
