#lambda       q_CCM       q_CAL       q_HZ1       q_HZ2       q_HZ3       q_HZ4       q_HZ5       q_GD1       q_GD2       q_GD3
 1000.0     5.23836     0.00000     4.20000     4.13815     5.33192     7.85294     3.55479     0.00000     0.00000     0.00000
 1001.0     5.22481     0.00000     4.19545     4.13366     5.32446     7.84612     3.55198     0.00000     0.00000     0.00000
 1002.0     5.21135     0.00000     4.19091     4.12916     5.31699     7.83930     3.54917     0.00000     0.00000     0.00000
 1003.0     5.19798     0.00000     4.18636     4.12467     5.30953     7.83248     3.54635     0.00000     0.00000     0.00000
 1004.0     5.18469     0.00000     4.18182     4.12018     5.30207     7.82567     3.54354     0.00000     0.00000     0.00000
 1005.0     5.17149     0.00000     4.17727     4.11568     5.29461     7.81885     3.54073     0.00000     0.00000     0.00000
 1006.0     5.15838     0.00000     4.17273     4.11119     5.28715     7.81203     3.53792     0.00000     0.00000     0.00000
 1007.0     5.14534     0.00000     4.16818     4.10669     5.27969     7.80521     3.53511     0.00000     0.00000     0.00000
 1008.0     5.13239     0.00000     4.16364     4.10220     5.27222     7.79839     3.53230     0.00000     0.00000     0.00000
 1009.0     5.11953     0.00000     4.15909     4.09770     5.26476     7.79158     3.52948     0.00000     0.00000     0.00000
 1010.0     5.10674     0.00000     4.15455     4.09321     5.25730     7.78476     3.52667     0.00000     0.00000     0.00000
 1011.0     5.09404     0.00000     4.15000     4.08871     5.24984     7.77794     3.52386     0.00000     0.00000     0.00000
 1012.0     5.08141     0.00000     4.14545     4.08422     5.24238     7.77112     3.52105     0.00000     0.00000     0.00000
 1013.0     5.06887     0.00000     4.14091     4.07973     5.23492     7.76430     3.51824     0.00000     0.00000     0.00000
 1014.0     5.05641     0.00000     4.13636     4.07523     5.22745     7.75748     3.51543     0.00000     0.00000     0.00000
 1015.0     5.04402     0.00000     4.13182     4.07074     5.21999     7.75067     3.51261     0.00000     0.00000     0.00000
 1016.0     5.03171     0.00000     4.12727     4.06624     5.21253     7.74385     3.50980     0.00000     0.00000     0.00000
 1017.0     5.01948     0.00000     4.12273     4.06175     5.20507     7.73703     3.50699     0.00000     0.00000     0.00000
 1018.0     5.00732     0.00000     4.11818     4.05725     5.19761     7.73021     3.50418     0.00000     0.00000     0.00000
 1019.0     4.99524     0.00000     4.11364     4.05276     5.19015     7.72339     3.50137     0.00000     0.00000     0.00000
 1020.0     4.98324     0.00000     4.10909     4.04826     5.18268     7.71658     3.49855     0.00000     0.00000     0.00000
 1021.0     4.97131     0.00000     4.10455     4.04377     5.17522     7.70976     3.49574     0.00000     0.00000     0.00000
 1022.0     4.95945     0.00000     4.10000     4.03928     5.16776     7.70294     3.49293     0.00000     0.00000     0.00000
 1023.0     4.94767     0.00000     4.09545     4.03478     5.16030     7.69612     3.49012     0.00000     0.00000     0.00000
 1024.0     4.93596     0.00000     4.09091     4.03029     5.15284     7.68930     3.48731     0.00000     0.00000     0.00000
 1025.0     4.92432     0.00000     4.08636     4.02579     5.14538     7.68248     3.48450     0.00000     0.00000     0.00000
 1026.0     4.91275     0.00000     4.08182     4.02130     5.13792     7.67567     3.48168     0.00000     0.00000     0.00000
 1027.0     4.90125     0.00000     4.07727     4.01680     5.13045     7.66885     3.47887     0.00000     0.00000     0.00000
 1028.0     4.88982     0.00000     4.07273     4.01231     5.12299     7.66203     3.47606     0.00000     0.00000     0.00000
 1029.0     4.87847     0.00000     4.06818     4.00781     5.11553     7.65521     3.47325     0.00000     0.00000     0.00000
 1030.0     4.86718     0.00000     4.06364     4.00332     5.10807     7.64839     3.47044     0.00000     0.00000     0.00000
 1031.0     4.85596     0.00000     4.05909     3.99883     5.10061     7.64158     3.46763     0.00000     0.00000     0.00000
 1032.0     4.84480     0.00000     4.05455     3.99433     5.09314     7.63476     3.46481     0.00000     0.00000     0.00000
 1033.0     4.83372     0.00000     4.05000     3.98984     5.08568     7.62794     3.46200     0.00000     0.00000     0.00000
 1034.0     4.82270     0.00000     4.04545     3.98534     5.07822     7.62112     3.45919     0.00000     0.00000     0.00000
 1035.0     4.81174     0.00000     4.04091     3.98085     5.07076     7.61430     3.45638     0.00000     0.00000     0.00000
 1036.0     4.80085     0.00000     4.03636     3.97635     5.06330     7.60748     3.45357     0.00000     0.00000     0.00000
 1037.0     4.79003     0.00000     4.03182     3.97186     5.05584     7.60067     3.45075     0.00000     0.00000     0.00000
 1038.0     4.77927     0.00000     4.02727     3.96736     5.04837     7.59385     3.44794     0.00000     0.00000     0.00000
 1039.0     4.76858     0.00000     4.02273     3.96287     5.04091     7.58703     3.44513     0.00000     0.00000     0.00000
 1040.0     4.75795     0.00000     4.01818     3.95838     5.03345     7.58021     3.44232     0.00000     0.00000     0.00000
 1041.0     4.74737     0.00000     4.01364     3.95388     5.02599     7.57339     3.43951     0.00000     0.00000     0.00000
 1042.0     4.73687     0.00000     4.00909     3.94939     5.01853     7.56658     3.43670     0.00000     0.00000     0.00000
 1043.0     4.72642     0.00000     4.00455     3.94489     5.01107     7.55976     3.43388     0.00000     0.00000     0.00000
 1044.0     4.71604     0.00000     4.00000     3.94040     5.00360     7.55294     3.43107     0.00000     0.00000     0.00000
 1045.0     4.70571     0.00000     3.99545     3.93590     4.99614     7.54612     3.42826     0.00000     0.00000     0.00000
 1046.0     4.69545     0.00000     3.99091     3.93141     4.98868     7.53930     3.42545     0.00000     0.00000     0.00000
 1047.0     4.68524     0.00000     3.98636     3.92691     4.98122     7.53248     3.42264     0.00000     0.00000     0.00000
 1048.0     4.67509     0.00000     3.98182     3.92242     4.97376     7.52567     3.41983     0.00000     0.00000     0.00000
 1049.0     4.66501     0.00000     3.97727     3.91793     4.96630     7.51885     3.41701     0.00000     0.00000     0.00000
 1050.0     4.65498     0.00000     3.97273     3.91343     4.95884     7.51203     3.41420     0.00000     0.00000     0.00000
 1051.0     4.64500     0.00000     3.96818     3.90894     4.95137     7.50521     3.41139     0.00000     0.00000     0.00000
 1052.0     4.63509     0.00000     3.96364     3.90444     4.94391     7.49839     3.40858     0.00000     0.00000     0.00000
 1053.0     4.62523     0.00000     3.95909     3.89995     4.93645     7.49158     3.40577     0.00000     0.00000     0.00000
 1054.0     4.61543     0.00000     3.95455     3.89545     4.92899     7.48476     3.40296     0.00000     0.00000     0.00000
 1055.0     4.60568     0.00000     3.95000     3.89096     4.92153     7.47794     3.40014     0.00000     0.00000     0.00000
 1056.0     4.59598     0.00000     3.94545     3.88646     4.91406     7.47112     3.39733     0.00000     0.00000     0.00000
 1057.0     4.58635     0.00000     3.94091     3.88197     4.90660     7.46430     3.39452     0.00000     0.00000     0.00000
 1058.0     4.57676     0.00000     3.93636     3.87748     4.89914     7.45748     3.39171     0.00000     0.00000     0.00000
 1059.0     4.56723     0.00000     3.93182     3.87298     4.89168     7.45067     3.38890     0.00000     0.00000     0.00000
 1060.0     4.55775     0.00000     3.92727     3.86849     4.88422     7.44385     3.38608     0.00000     0.00000     0.00000
 1061.0     4.54833     0.00000     3.92273     3.86399     4.87676     7.43703     3.38327     0.00000     0.00000     0.00000
 1062.0     4.53895     0.00000     3.91818     3.85950     4.86930     7.43021     3.38046     0.00000     0.00000     0.00000
 1063.0     4.52963     0.00000     3.91364     3.85500     4.86183     7.42339     3.37765     0.00000     0.00000     0.00000
 1064.0     4.52036     0.00000     3.90909     3.85051     4.85437     7.41658     3.37484     0.00000     0.00000     0.00000
 1065.0     4.51114     0.00000     3.90455     3.84601     4.84691     7.40976     3.37203     0.00000     0.00000     0.00000
 1066.0     4.50197     0.00000     3.90000     3.84152     4.83945     7.40294     3.36921     0.00000     0.00000     0.00000
 1067.0     4.49285     0.00000     3.89545     3.83703     4.83199     7.39612     3.36640     0.00000     0.00000     0.00000
 1068.0     4.48378     0.00000     3.89091     3.83253     4.82453     7.38930     3.36359     0.00000     0.00000     0.00000
 1069.0     4.47476     0.00000     3.88636     3.82804     4.81706     7.38248     3.36078     0.00000     0.00000     0.00000
 1070.0     4.46579     0.00000     3.88182     3.82354     4.80960     7.37567     3.35797     0.00000     0.00000     0.00000
 1071.0     4.45687     0.00000     3.87727     3.81905     4.80214     7.36885     3.35516     0.00000     0.00000     0.00000
 1072.0     4.44799     0.00000     3.87273     3.81455     4.79468     7.36203     3.35234     0.00000     0.00000     0.00000
 1073.0     4.43916     0.00000     3.86818     3.81006     4.78722     7.35521     3.34953     0.00000     0.00000     0.00000
 1074.0     4.43038     0.00000     3.86364     3.80556     4.77976     7.34839     3.34672     0.00000     0.00000     0.00000
 1075.0     4.42164     0.00000     3.85909     3.80107     4.77229     7.34158     3.34391     0.00000     0.00000     0.00000
 1076.0     4.41295     0.00000     3.85455     3.79658     4.76483     7.33476     3.34110     0.00000     0.00000     0.00000
 1077.0     4.40431     0.00000     3.85000     3.79208     4.75737     7.32794     3.33828     0.00000     0.00000     0.00000
 1078.0     4.39571     0.00000     3.84545     3.78759     4.74991     7.32112     3.33547     0.00000     0.00000     0.00000
