plate,mjd,fiberid
266,51602,194
267,51608,28
267,51608,183
269,51910,521
271,51883,217
272,51941,142
274,51913,630
277,51908,182
280,51612,370
286,51999,104
290,51941,386
293,51994,27
294,51986,608
295,51985,353
295,51985,499
296,51665,38
297,51663,92
297,51663,117
302,51688,170
303,51615,587
305,51613,13
305,51613,181
305,51613,223
305,51613,486
306,51637,515
307,51663,268
311,51665,59
311,51665,387
311,51665,427
311,51665,431
311,51665,493
312,51689,222
314,51641,532
314,51641,533
315,51663,333
341,51690,417
351,51695,46
352,51789,547
353,51703,387
357,51813,291
364,52000,66
371,52078,594
373,51788,608
377,52145,38
377,52145,61
377,52145,636
378,52146,634
379,51789,450
380,51792,98
384,51821,546
384,51821,592
386,51788,409
388,51793,457
389,51795,394
389,51795,456
389,51795,459
390,51816,156
391,51782,14
392,51793,423
393,51794,6
393,51794,86
394,51812,416
395,51783,58
397,51794,623
399,51817,58
399,51817,212
401,51788,120
402,51793,106
402,51793,250
402,51793,326
406,51817,160
409,51871,50
412,51931,377
412,51931,477
413,51821,62
413,51821,99
415,51810,388
417,51821,222
419,51812,58
419,51812,561
420,51871,181
420,51871,288
422,51811,113
424,51893,565
427,51900,565
433,51873,165
433,51873,241
438,51884,22
439,51877,633
441,51868,455
442,51882,240
443,51873,77
443,51873,104
443,51873,542
443,51873,548
445,51873,355
451,51908,144
451,51908,159
452,51911,263
458,51929,140
459,51924,167
459,51924,253
461,51910,49
462,51909,198
463,51908,470
464,51908,110
464,51908,166
464,51908,567
465,51910,524
468,51912,446
470,51929,448
472,51955,546
474,52000,401
481,51908,345
484,51907,426
484,51907,592
487,51943,610
488,51914,282
491,51942,413
491,51942,456
492,51955,119
493,51957,144
493,51957,617
500,51994,185
502,51957,195
502,51957,554
503,51999,73
504,52316,549
505,52317,77
505,52317,228
505,52317,354
505,52317,454
508,52366,220
510,52381,386
513,51989,559
515,52051,213
516,52017,291
517,52024,271
518,52282,49
523,52026,626
525,52295,25
527,52342,317
529,52025,193
532,51993,97
533,51994,172
533,51994,628
534,51997,59
534,51997,447
534,51997,455
535,51999,510
543,52017,141
544,52201,3
544,52201,362
545,52202,21
545,52202,290
546,52205,124
547,51959,465
547,51959,499
548,51986,247
548,51986,513
549,51981,440
552,51992,509
559,52316,402
567,52252,112
569,52264,263
569,52264,281
569,52264,338
569,52264,465
569,52264,609
573,52325,392
575,52319,463
577,52367,155
578,52339,137
581,52356,436
585,52027,362
586,52023,36
586,52023,253
589,52055,529
591,52022,71
591,52022,121
592,52025,235
598,52316,223
599,52317,447
601,52316,461
604,52079,200
607,52368,97
607,52368,265
607,52368,512
608,52081,543
609,52339,376
610,52056,277
610,52056,439
611,52055,476
612,52079,476
613,52345,161
613,52345,184
614,53437,185
617,52072,201
617,52072,379
617,52072,625
618,52049,138
620,52375,331
621,52055,260
621,52055,624
623,52051,626
625,52145,159
625,52145,162
625,52145,233
625,52145,385
628,52083,88
629,52051,497
630,52050,163
630,52050,600
632,52071,93
632,52071,146
632,52071,598
633,52079,337
633,52079,630
634,52164,637
635,52145,459
637,52174,632
639,52146,335
644,52149,483
644,52149,528
646,52523,42
648,52559,180
649,52201,488
651,52141,168
651,52141,394
652,52138,293
653,52145,534
654,52146,1
655,52162,413
655,52162,534
656,52148,241
656,52148,524
656,52148,561
658,52146,17
658,52146,299
658,52146,312
664,52174,212
664,52174,239
664,52174,505
666,52149,417
667,52163,503
677,52606,180
679,52177,266
682,52525,172
687,52518,26
689,52262,388
690,52261,342
690,52261,496
695,52202,139
702,52178,108
708,52175,155
708,52175,513
717,52468,543
718,52206,454
720,52206,411
724,52254,217
725,52258,142
726,52226,171
730,52466,563
737,52518,624
738,52521,226
740,52263,382
744,52251,620
746,52238,240
747,52234,241
747,52234,582
748,52233,247
748,52233,349
748,52233,614
755,52235,6
756,52577,372
758,52253,195
758,52253,439
761,52266,381
762,52232,114
763,52235,183
767,52252,97
767,52252,268
767,52252,299
767,52252,356
775,52295,613
776,52319,315
776,52319,604
783,52325,119
785,52339,361
785,52339,460
786,52319,218
788,52338,156
788,52338,177
788,52338,309
789,52342,1
791,52435,518
791,52435,562
792,52353,327
793,52370,490
802,52289,25
802,52289,327
802,52289,335
802,52289,387
802,52289,401
802,52289,462
802,52289,468
802,52289,481
802,52289,501
802,52289,582
803,52264,38
803,52264,158
803,52264,297
803,52264,361
803,52264,362
803,52264,414
803,52264,459
804,52266,19
804,52266,95
804,52266,117
804,52266,361
804,52266,554
805,52586,41
805,52586,446
806,52592,277
806,52592,284
806,52592,608
811,52669,181
811,52669,254
811,52669,356
812,52352,263
815,52374,636
817,52381,348
818,52395,343
818,52395,599
820,52433,400
826,52295,395
831,52294,526
835,52326,445
840,52374,417
846,52407,349
847,52426,522
849,52439,591
850,52338,298
851,52376,124
859,52317,179
859,52317,269
861,52318,223
861,52318,367
870,52325,432
873,52674,53
873,52674,366
873,52674,473
874,52338,237
878,52353,304
880,52367,235
880,52367,425
882,52370,222
883,52430,97
884,52374,400
884,52374,510
885,52379,489
886,52381,129
886,52381,468
886,52381,522
890,52583,372
893,52589,618
894,52615,435
898,52606,45
900,52637,616
904,52381,151
909,52379,130
909,52379,550
910,52377,162
911,52426,562
916,52378,23
917,52400,80
918,52404,462
919,52409,484
922,52426,98
927,52577,485
930,52618,598
931,52619,530
933,52642,360
933,52642,531
934,52672,426
936,52705,88
936,52705,477
937,52707,379
941,52709,19
941,52709,74
942,52703,220
944,52614,222
946,52407,22
952,52409,189
952,52409,229
952,52409,447
953,52411,409
954,52405,221
954,52405,384
954,52405,536
954,52405,559
957,52398,146
957,52398,622
957,52398,624
958,52410,240
959,52411,232
960,52425,237
961,52615,369
961,52615,456
961,52615,537
962,52620,282
963,52643,15
964,52646,54
966,52642,14
966,52642,256
966,52642,630
969,52442,141
971,52644,266
971,52644,585
974,52427,374
974,52427,468
974,52427,528
977,52410,207
982,52466,105
983,52443,203
985,52431,356
985,52431,422
988,52520,236
988,52520,582
991,52707,435
995,52731,58
996,52641,168
997,52734,171
997,52734,532
999,52636,481
1000,52643,419
1001,52670,19
1005,52703,206
1007,52706,79
1007,52706,478
1008,52707,21
1008,52707,378
1009,52644,433
1011,52652,340
1011,52652,432
1012,52649,20
1012,52649,38
1013,52707,214
1014,52707,269
1016,52759,563
1017,52706,14
1017,52706,411
1020,52721,300
1021,52460,26
1021,52460,121
1021,52460,174
1021,52460,611
1022,52524,335
1022,52524,501
1023,52818,95
1023,52818,116
1023,52818,117
1023,52818,201
1023,52818,331
1023,52818,540
