Objid,plate,mjd,fiberid,ra,dec,fiberMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,fuv_mag,nuv_mag,dered_u,dered_g,dered_r,dered_i,dered_z,petroR90_r,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,fuv_magerr,nuv_magerr,e_bv,s2n_r,sn_fuv_auto,survey,morph_type
588015509814706292,397,51794,623,19.32123,0.453131,17.56852,19.65587,18.22644,17.50533,17.07233,16.79692,22.34882,21.25588,19.47973,18.09684,17.41133,17.00106,16.74639,2.545715,0.0506533,0.008770612,0.006592834,0.006718751,0.01538681,0.4272765,0.2033965,0.03425804,22.5028,2.54168,AIS,3
587730772813152358,748,52233,247,355.6343,13.58192,19.16943,19.39291,18.73996,18.70246,18.43535,18.54811,20.18772,19.78062,19.05493,18.49128,18.52209,18.29859,18.45114,3.072237,0.03436565,0.01038567,0.0113771,0.01383873,0.05244824,0.09764186,0.03936886,0.06626686,6.09594,11.12228,AIS,3
587732153638846603,936,52705,477,134.9547,38.1089,19.28831,19.34592,18.7781,18.88776,18.42674,18.64763,19.55608,19.69579,19.21855,18.68438,18.81979,18.3752,18.61109,2.728013,0.03236032,0.009998049,0.01343742,0.01471075,0.04515811,0.1404306,0.1165494,0.02465768,9.4141,7.733356,AIS,3
588295841784660123,966,52642,630,174.0842,49.65018,17.91077,19.32698,18.20126,17.66755,17.2743,17.10915,21.21128,20.74913,19.24794,18.14311,17.62538,17.24232,17.08647,3.230104,0.04260443,0.007603944,0.006507723,0.006971435,0.0189971,0.3286479,0.109715,0.01549046,17.5831,3.304448,AIS,3
587735697522884737,1322,52791,614,207.55,56.492,17.80155,18.8492,17.83025,17.47041,17.14518,17.01436,20.09971,19.51141,18.79269,17.78867,17.44025,17.12231,16.99815,2.754773,0.02673761,0.005547544,0.005493975,0.006011045,0.01530295,0.1414455,0.07317226,0.01093529,19.4554,7.677868,AIS,3
587735349104607376,1751,53377,579,167.3448,14.9436,19.27031,20.18532,19.49463,19.21319,18.74492,18.82568,20.58341,20.9046,20.10967,19.43896,19.17282,18.71431,18.80398,1.806523,0.04346123,0.01268667,0.01402053,0.01485304,0.0453172,0.2459041,0.264315,0.01489256,8.77417,4.416355,AIS,3
587726031711437039,516,52017,291,179.5183,1.676298,17.76365,19.53347,18.22493,17.64667,17.2093,16.96255,21.26999,20.70308,19.42312,18.14373,17.58778,17.16465,16.93089,3.195602,0.05309264,0.0085072,0.007155272,0.006774683,0.02240683,0.259218,0.1590079,0.02177383,18.6278,4.189523,AIS,3
587729408617808094,632,52071,93,254.0278,37.57669,18.19338,18.78356,17.81043,17.53746,17.24188,17.15766,19.57341,19.25318,18.69436,17.7448,17.48986,17.20579,17.13207,3.446217,0.02759423,0.007201425,0.007249326,0.007553902,0.02252802,0.09652709,0.04485425,0.01728177,16.9273,11.25073,AIS,3
587741392109305888,2294,53733,518,143.6087,26.01691,17.51644,18.59395,17.56934,17.18178,16.85296,16.73104,19.92023,19.29136,18.47544,17.48214,17.11853,16.805,16.69704,3.148869,0.01889513,0.005001318,0.004795245,0.005398204,0.01165124,0.1181464,0.06221667,0.02306732,42.9859,9.191984,AIS,3
587739609706594396,2112,53534,293,199.6837,32.25722,17.43623,18.2598,17.39971,17.13205,16.83564,16.68474,19.32331,18.93994,18.20385,17.35853,17.10219,16.813,16.66869,3.218492,0.01855106,0.005840343,0.00567994,0.006752271,0.01361499,0.1269457,0.06957994,0.01103343,28.0462,8.554838,AIS,3
587742610273009905,2516,54240,91,235.7281,10.74618,17.95853,19.26933,18.17612,17.70365,17.39323,17.16698,20.79124,20.1236,19.05313,18.01705,17.58827,17.30575,17.10495,3.066643,0.03811958,0.007635469,0.00683664,0.01317629,0.01983918,0.2611689,0.1506218,0.04116279,13.566,4.158229,AIS,3
587729409681522717,614,53437,595,233.7941,56.03435,18.38286,21.16524,19.43771,19.07036,18.6724,18.42249,19.75755,18.51687,21.10774,19.39541,19.03967,18.64914,18.406,2.138267,0.1508638,0.01595657,0.01435064,0.01503901,0.04008469,0.1780614,0.09402242,0.01112875,16.056,6.09902,AIS,3
587742013278388442,2496,54178,73,171.3559,21.43691,17.33117,18.75002,17.55484,16.99475,16.62631,16.37357,20.76381,20.46108,18.62725,17.46451,16.92923,16.57663,16.33835,3.435781,0.02822198,0.006816776,0.008373505,0.007872658,0.01160297,0.2667034,0.1603746,0.02374644,26.7692,4.071939,AIS,3
